Variables,Description,Data Type
policy_id,Unique identifier of the policyholder,Nominal
policy_tenure,Time period of the policy,Continuous
age_of_car,Normalized age of the car in years,Continuous
age_of_policyholder,Normalized age of the policyholder in years,Continuous
area_cluster,Area cluster of the policyholder,Nominal
population_density,Population density of the city (Policyholder City,Discrete
make,Encoded Manufacturer/company of the car,Discrete
segment,Segment of the car (A/ B1/ B2/ C1/ C2),Ordinal
model,Encoded name of the car,Nominal 
fuel_type,Type of fuel used by the car,Nominal
max_torque,Maximum Torque generated by the car (Nm@rpm),Nominal
max_power,Maximum Power generated by the car (bhp@rpm),Nominal
engine_type,Type of engine in the car,Nominal 
airbags,Number of airbags installed in the car,Discrete
is_esc,Boolean flag indicating whether Electronic Stability Control (ESC) is present in the car or not.,Binary (Yes or No)
is_adjustable_steering,Boolean flag indicating whether the steering wheel of the car is adjustable or not.,Binary (Yes or No)
is_tpms,Boolean flag indicating whether the Tyre Pressure Monitoring System (TPMS) is present in the car or not.,Binary (Yes or No)
is_parking_sensors,Boolean flag indicating whether parking sensors are present in the car or not.,Binary (Yes or No)
is_parking_camera,Boolean flag indicating whether parking camera is present in the car or not.,Binary (Yes or No)
rear_brakes_type,Type of brakes used in the rear of the car,Nominal
displacement,Engine displacement of the car (cc),Discrete
cylinder,Number of cylinders present in the engine of the car,Discrete
transmission_type,Transmission type of the car,Nominal
gear_box,Number of gears in the car,Discrete
steering_type,Type of the power steering present in the car,Nominal 
turning_radius,The space a vehicle needs to make a certain turn (Meters),Continuous
length,Length for the car (Millimeter),Continuous
width,Width of the car (Millimeter),Continuous
height,Height for the car (Millimeter),Continuous
gross_weight,"The maximum allowable weight of the fully loaded car, including passengers, cargo, and equipment (Kg)",Continuous
is_front_fog_lights,Boolean flag indicating whether front fog lights are available in the car or not.,Binary (Yes or No)
is_rear_window_wiper,Boolean flag indicating whether the rear window wiper is available in the car or not.,Binary (Yes or No)
is_rear_window_washer,Boolean flag indicating whether the rear window washer is available in the car or not.,Binary (Yes or No)
is_rear_window_defogger,Boolean flag indicating whether rear window defogger is available in the car or not.,Binary (Yes or No)
is_brake_assist,Boolean flag indicating whether the brake assistance feature is available in the car or not.,Binary (Yes or No)
is_power_door_lock,Boolean flag indicating whether a power door lock is available in the car or not.,Binary (Yes or No)
is_central_locking,Boolean flag indicating whether the central locking feature is available in the car or not.,Binary (Yes or No)
is_power_steering,Boolean flag indicating whether power steering is available in the car or not.,Binary (Yes or No)
is_driver_seat_height_adjustable,Boolean flag indicating whether the height of the driver seat is adjustable or not.,Binary (Yes or No)
is_day_night_rear_view_mirror,Boolean flag indicating whether day or night rearview mirror is present in the car or not.,Binary (Yes or No)
is_ecw,Boolean flag indicating whether Engine Check waring (ECW) is available in the car or not.,Binary (Yes or No)
is_speed_alert,Boolean flag indicating whether the speed alert system is available in the car or not.,Binary (Yes or No)
ncap_rating,Safety rating given by NCAP (out of 5),"Discrete, Ordinal"
is_claim,Outcome: Boolean flag indicating whether the policyholder files a claim in the next 6 months or not.,Binary (0 or 1)
